zip_code,beds,baths,sqft,date,zip_median_price,sale_price
75002,4.0,3.0,2702.0,2019-12-31,304580.20295564405,475000.0
75002,4.0,3.0,2728.0,2021-11-30,401482.3884908246,499900.0
75002,4.0,3.0,2762.0,2025-03-31,477489.7147595111,489000.0
75002,4.0,3.0,2763.0,2025-08-31,463111.1159807999,485000.0
75002,4.0,3.0,2816.0,2022-11-30,475377.42828339833,499000.0
75002,4.0,3.0,2818.0,2019-12-31,304580.20295564405,478500.0
75002,4.0,3.0,2862.0,2019-04-30,305302.1516356676,495000.0
75002,4.0,3.0,2918.0,2020-01-31,306246.01466397493,599900.0
75002,4.0,3.0,2974.0,2020-12-31,326285.82287165464,849000.0
75002,4.0,3.0,2996.0,2022-03-31,446562.8953965264,450000.0
75002,4.0,3.0,3007.0,2020-02-29,308056.6573911422,485000.0
75002,4.0,3.0,3024.0,2025-11-30,457733.3108526523,499000.0
75002,4.0,3.0,3026.0,2020-11-30,322095.32825668954,450000.0
75002,4.0,3.0,3031.0,2019-01-31,305591.15336180246,523000.0
75002,4.0,3.0,3125.0,2020-09-30,314750.77256218443,775000.0
75002,4.0,3.0,3139.0,2022-04-30,461832.0525970876,460000.0
75002,4.0,3.0,3202.0,2021-12-31,408511.82761075994,599000.0
75002,4.0,3.0,3260.0,2015-09-30,251791.13339066392,949900.0
75002,4.0,3.0,3311.0,2022-05-31,475412.11563008366,1050000.0
75002,4.0,3.0,4180.0,2024-11-30,480821.4655511863,849500.0
75002,4.0,3.0,5037.0,2019-09-30,302396.514884782,2100000.0
75002,4.0,4.0,2006.0,2020-11-30,322095.32825668954,417000.0
75002,4.0,4.0,2909.0,2025-12-31,454939.43865984184,787926.0
75002,4.0,4.0,2909.0,2025-01-31,479925.37085667247,1010094.0
75002,4.0,4.0,2943.0,2023-02-28,471165.4754370104,424900.0
75002,4.0,4.0,2990.0,2025-11-30,457733.3108526523,490000.0
75002,4.0,4.0,3177.0,2017-07-31,292741.16990378563,575000.0
75002,4.0,4.0,3334.0,2018-10-31,305447.5562929382,494000.0
75002,4.0,4.0,3351.0,2023-10-31,482798.31741844147,875000.0
75002,4.0,4.0,3408.0,2024-01-31,481132.82119687187,1100000.0
75002,4.0,4.0,3428.0,2022-09-30,484129.62057428487,1043853.0
75002,4.0,4.0,3575.0,2018-08-31,305056.0249736581,800000.0
75002,4.0,4.0,3595.0,2018-12-31,305434.7561807285,1225000.0
75002,4.0,4.0,3605.0,2019-02-28,305828.1942131804,1090000.0
75002,4.0,4.0,3855.0,2023-11-30,482673.40747503727,899900.0
75002,4.0,4.0,3873.0,2024-01-31,481132.82119687187,730000.0
75002,4.0,4.0,3962.0,2025-04-30,475428.6342662429,1300000.0
75002,4.0,4.0,4013.0,2017-10-31,295713.4626969081,998500.0
75002,4.0,4.0,4019.0,2016-04-30,265994.83169045165,900000.0
75002,4.0,4.0,4050.0,2017-01-31,282207.18391871447,1225000.0
75002,4.0,4.0,4250.0,2024-06-30,487142.0703973159,1100000.0
75002,4.0,4.0,4259.0,2024-01-31,481132.82119687187,1175776.0
75002,4.0,4.0,4319.0,2021-12-31,408511.82761075994,931093.0
75002,4.0,4.0,4425.0,2023-02-28,471165.4754370104,1295000.0
75002,4.0,4.0,4522.0,2021-12-31,408511.82761075994,915000.0
75002,4.0,4.0,4610.0,2024-05-31,487551.1384879754,1149000.0
75002,4.0,4.0,4751.0,2020-04-30,310680.76416435675,1350000.0
75002,4.0,4.0,4813.0,2019-02-28,305828.1942131804,993750.0
75002,4.0,5.0,3251.0,2015-10-31,253835.5661361318,950000.0
75002,4.0,5.0,3343.0,2017-09-30,294849.199135638,2000000.0
75002,4.0,5.0,4393.0,2022-03-31,446562.8953965264,1175000.0
75002,4.0,5.0,4576.0,2025-05-31,472767.0556787857,1375000.0
75002,4.0,5.0,4715.0,2024-11-30,480821.4655511863,897500.0
75002,4.0,5.0,4935.0,2018-01-31,299231.61830466305,1125000.0
75002,4.0,5.0,4956.0,2017-11-30,296781.19100958755,1385999.0
75002,4.0,5.0,5030.0,2023-08-31,481460.1516701283,1395000.0
75002,4.0,5.0,5283.0,2019-02-28,305828.1942131804,2395000.0
75002,4.0,5.0,5867.0,2025-09-30,461800.40270064026,2175000.0
75002,4.0,7.0,8244.0,2020-04-30,310680.76416435675,5300000.0
75002,5.0,2.0,1367.0,2025-02-28,479061.76808377495,269900.0
75002,5.0,3.0,2354.0,2020-06-30,310453.9876782476,450000.0
75002,5.0,3.0,2472.0,2024-06-30,487142.0703973159,419900.0
75002,5.0,3.0,2715.0,2024-06-30,487142.0703973159,400000.0
75002,5.0,3.0,2871.0,2024-11-30,480821.4655511863,429900.0
75002,5.0,3.0,2974.0,2023-08-31,481460.1516701283,469000.0
75002,5.0,3.0,2980.0,2021-04-30,348358.23468689126,650000.0
75002,5.0,3.0,3171.0,2024-12-31,480400.04665957246,575000.0
75002,5.0,3.0,3238.0,2020-06-30,310453.9876782476,553000.0
75002,5.0,3.0,4000.0,2022-12-31,473280.98370092845,1000000.0
75002,5.0,3.0,4011.0,2018-02-28,300264.58275105717,1143561.0
75002,5.0,4.0,2700.0,2015-05-31,242747.5570148737,525000.0
75002,5.0,4.0,3009.0,2025-04-30,475428.6342662429,709000.0
75002,5.0,4.0,3316.0,2025-07-31,465823.1916801718,540000.0
75002,5.0,4.0,3347.0,2024-05-31,487551.1384879754,560000.0
75002,5.0,4.0,3371.0,2019-05-31,304499.7370389998,815000.0
75002,5.0,4.0,3385.0,2018-01-31,299231.61830466305,495000.0
75002,5.0,4.0,3496.0,2017-04-30,287835.29456428805,640000.0
75002,5.0,4.0,3596.0,2021-12-31,408511.82761075994,559000.0
75002,5.0,4.0,3633.0,2018-02-28,300264.58275105717,525000.0
75002,5.0,4.0,3720.0,2025-04-30,475428.6342662429,719900.0
75002,5.0,4.0,3732.0,2016-02-29,261719.21400605945,625000.0
75002,5.0,4.0,3748.0,2017-09-30,294849.199135638,1070205.0
75002,5.0,4.0,3797.0,2017-08-31,293931.60190920957,937309.0
75002,5.0,4.0,3797.0,2015-03-31,237146.92321396855,999943.0
75002,5.0,4.0,3914.0,2017-05-31,289621.0663987174,865000.0
75002,5.0,4.0,4003.0,2015-09-30,251791.13339066392,749900.0
75002,5.0,4.0,4044.0,2017-09-30,294849.199135638,789000.0
75002,5.0,4.0,4137.0,2016-02-29,261719.21400605945,1150000.0
75002,5.0,4.0,4282.0,2023-11-30,482673.40747503727,1250000.0
75002,5.0,4.0,4283.0,2025-12-31,454939.43865984184,775000.0
75002,5.0,4.0,4720.0,2021-11-30,401482.3884908246,1299999.0
75002,5.0,5.0,3498.0,2024-05-31,487551.1384879754,949900.0
75002,5.0,5.0,3589.0,2024-03-31,483608.69800301926,1250000.0
75002,5.0,5.0,4259.0,2024-07-31,485634.90227029735,1103331.0
75002,5.0,5.0,4319.0,2022-04-30,461832.0525970876,901358.0
75002,5.0,5.0,4319.0,2022-03-31,446562.8953965264,1033474.0
75002,5.0,5.0,4319.0,2015-06-30,245339.66318939067,1186763.0
75002,5.0,5.0,4319.0,2017-09-30,294849.199135638,1190889.0
75002,5.0,5.0,4570.0,2024-09-30,482209.4505309923,925000.0
75002,5.0,5.0,4742.0,2020-02-29,308056.6573911422,925000.0
75002,5.0,5.0,5574.0,2024-05-31,487551.1384879754,1795000.0
75002,5.0,6.0,4810.0,2018-06-30,303599.47514981247,2099808.0
75002,5.0,6.0,4842.0,2020-09-30,314750.77256218443,1645000.0
